name,company
Varun Babbar,Duke University
Sharath Nittur Sridhar,Intel Labs
Hulya Seferoglu,University of Illinois at Chicago
Divyang Doshi,North Carolina State University
Sunny Sanyal,University of Texas at Austin
Kaifeng Chen,Google
Shuai Xu,Case Western Reserve University
Iurii Efimov,Samsung
Mert Unsal,ETHZ - ETH Zurich
Natia Kukhilava,Georgian Technical University
Yaniv Blumenfeld,"Technion, Technion"
Nikita Sukhorukov,Skolkovo Institute of Science and Technology
Hugues Talbot,CentraleSupelec
Hector Kohler,INRIA
Andrew Ye,Case Western Reserve University
Tuan-Anh Nguyen,Université Grenoble Alpes
Xunyi Zhao,INRIA
Xingli Fang,North Carolina State University
Abhishek Panigrahi,Princeton University
Emmanouil Benetos,"Queen Mary, University of London"
Sofya Dymchenko,INRIA
Daniel Bershatsky,Skoltech
Olivier Beaumont,INRIA
Fahad Ali Albalawi,Taif University
Chaerin Kong,Seoul National University
Hichem Sahbi,Sorbonne University
Mathilde Jay,Université Grenoble Alpes
Lucas Thibaut Meyer,INRIA
Stefanos Laskaridis,Brave Software
Matteo Pagliardini,Swiss Federal Institute of Technology Lausanne
Aleksandr Katrutsa,Artificial Intelligence Research Institute
Konstantin Pavlovich Burlachenko,KAUST
Zeinab Abboud,"École Polytechnique de Montréal, Université de Montréal"
Paul Balanca,Graphcore
Anze Xie,"Computer Science and Engineering Department, University of California, San Diego"
Aditya Kane,Georgia Institute of Technology
Paul Anderson,Ivy
Atula Tejaswi,University of Texas at Austin
Tatia Tsmindashvili,Georgian Technical University
Ayoub Ajarra,INRIA
Namrata Shivagunde,"Department of Computer Science, University of Massachusetts at Lowell"
Alena Shilova,INRIA
Abhay Gupta,"Databricks, Inc"
Maciej Szankin,Intel
Jenya Chelishev,Samsung AI Center
Shreyas Saxena,"Cerebras Systems, Inc"
Marcel Aach,University of Iceland
Johannes Hagemann,Prime Intellect
Rakesh Sarma,Forschungszentrum Jülich
Hao Zhao,EPFL - EPF Lausanne
Tommy Löfstedt,Umeå University
Vithursan Thangarasa,"Cerebras Systems, Inc"
Peyman Gholami,University of Illinois at Chicago
Adrien Aguila--Multner,INRIA
Andrew W Fitzgibbon,Graphcore
